keyboard,letters,words,time,wpm,lps,accuracy,raw_accuracy,consistency,typer,text_type
simulation1,311,38,25.222,90,12,100,100,94.59682111434783,10Fingers,Dummy
simulation2,494,78,44.868,104,11,100,100,90.07920291991189,10Fingers,Dummy
simulation1,327,55,24.827,133,13,100,100,91.16037189758192,10Fingers,Code
simulation1,518,75,51.666,87,10,100,100,85.61622348213632,10Fingers,Dummy
DVORAK,622,106,51.116,124,12,100,100,84.5197681639332,10Fingers,Book
DVORAK,544,85,43.854,116,12,100,100,79.47917186007315,10Fingers,Book
simulation1,279,48,20.608,140,14,100,100,91.88009226415616,10Fingers,Code
simulation2,505,55,55.513,59,9,100,100,81.25579903324308,10Fingers,Dummy
QWERTY,476,70,39.401,107,12,100,100,85.27743103509556,10Fingers,Book
COLEMAK,322,56,29.812,113,11,100,100,87.83871999105506,10Fingers,Dummy
COLEMAK,378,55,28.495,116,13,100,100,94.50853802457762,10Fingers,Article
DVORAK,350,53,26.948,118,13,100,100,88.5074589485301,10Fingers,Book
simulation2,389,65,35.601,110,11,100,100,89.59456047800113,10Fingers,Article
DVORAK,307,46,29.591,93,10,100,100,86.32043121005876,10Fingers,Book
simulation1,502,99,40.796,146,12,100,100,89.83534404341222,10Fingers,Article
simulation3,594,83,47.332,105,13,100,100,90.44400703522719,10Fingers,Dummy
DVORAK,422,63,32.107,118,13,100,100,94.74600730496132,10Fingers,Dummy
simulation3,368,61,27.758,132,13,100,100,90.36281843437939,10Fingers,Book
DVORAK,531,88,43.009,123,12,100,100,91.3952631028397,10Fingers,Dummy
simulation1,503,76,38.906,117,13,100,100,82.01363252444204,10Fingers,Dummy
simulation1,749,109,62.968,104,12,100,100,94.25074301746966,10Fingers,Article
DVORAK,350,45,29.334,92,12,100,100,85.61831102789682,10Fingers,Code
QWERTY,363,62,32.894,113,11,100,100,88.226232828361,10Fingers,Dummy
simulation3,333,57,25.104,136,13,100,100,87.27197766098779,10Fingers,Code
COLEMAK,262,36,25.258,86,10,100,100,68.68703016363777,10Fingers,Article
COLEMAK,899,124,76.236,98,12,100,100,93.52132351459053,10Fingers,Book
simulation1,389,67,30.327,133,13,100,100,89.1061385868814,10Fingers,Code
simulation3,506,85,41.581,123,12,100,100,88.21971682245415,10Fingers,Book
simulation3,350,59,27.289,130,13,100,100,92.411531907376,10Fingers,Article
simulation3,509,71,43.411,98,12,100,100,92.08102969976365,10Fingers,Dummy
simulation2,1018,141,101.748,83,10,100,100,89.94465473415579,10Fingers,Book
simulation3,391,66,31.766,125,12,100,100,91.92191986217856,10Fingers,Code
QWERTY,573,93,49.41,113,12,100,100,86.3587316202677,10Fingers,Article
simulation2,383,57,33.184,103,12,100,100,87.70724550977167,10Fingers,Dummy
COLEMAK,665,105,56.956,111,12,100,100,89.97893884463859,10Fingers,Article
simulation3,443,76,40.313,113,11,100,100,83.05322512077592,10Fingers,Article
simulation3,608,88,53.45,99,11,100,100,90.51082552981936,10Fingers,Book
